;Название вакансии;Название компании;Город;Зарплата;Опыт работы;Описание;Требования;Тип занятости;Ключевые навыки;Источник
0;Middle Data Engineer в Центр Маркетинговой аналитики (Big Data);МТС;Москва;Договорная;1–3 года;Big Data МТС – место, где телеком данные превращаются в реально работающие IT-продукты. Мы создали и протестировали несколько десятков сервисов. Самые успешные из них уже стали частью экосистемы МТС. Например, МТС Маркетолог, рекомендации в KION (МТС ТВ), услуга “Кто звонит?” или Спам blacklist. Кого мы ищем? Команда центра Big Data в поиске Middle Data Engineer в Центр Маркетинговой аналитики  Описание продукта: В рамках трансформации Digital маркетинга в МТС и организации in-house агентства мы сформировали отдельную команду маркетинговой аналитики в Big Data, в задачи которой входит помощь маркетинговым командам экосистемы МТС принимать data-driven решения Ищем Data инженера, который сможет помочь нам реализовать быструю и точную систему поставки данных от источников сквозь модели до бизнес-пользователей, чтобы бизнес-команда маркетинга, инвестируя каждый рубль, понимала пользователей и прибыли он принесет Обязательно: Что предстоит делать? Стек технологий: Hadoop, Hive, Spark, ClickHouse, Airflow, PostgreSQL, Apache Superset Условия: каждый месяц - аванс и зарплата, дважды в год - премия. ДМС + стоматология, корпоративная связь, специальные предложения от партнеров и друзей МТС, отпуск 31 день в год. Выдаем 16 MacBook Pro или Dell на выбор. Есть ли обучение? Какой график? Гибкое начало рабочего дня в промежутке с 8 до 11. Есть возможность работать несколько дней вне офиса по договоренности с командой. Сколько этапов при отборе? Не более трех:  ;Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Spark</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Hadoop</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Hive</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">airflow</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ETL</span></div></div>";https://rabota1000.ru/vacancy/116202849
1;Data engineer / data analyst (Дирекция цифрового развития);Банк Русский Стандарт;Москва;Договорная;1–3 года;Банк Русский Стандарт — это Инновационные продукты и сервисы Амбициозные задачи и современные решения Креативная и дружелюбная атмосфера Банк Русский Стандарт входит в ТОП-5 лучших банков Народного рейтинга портала Banki.ru за 2022 год. Нашими продуктами пользуются более 29 млн клиентов по всей России. Обязанности: Требования: Условия: будем рады видеть тебя в нашей команде профессионалов! АО «Банк Русский Стандарт»;Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский — A1 — Начальный</span></div></div>";https://rabota1000.ru/vacancy/99893777
2;Куратор на курс Data Engineer;Карпов Курсес;Санкт-Петербург;50 000 – 50 000 руб.;1–3 года;Karpov.courses — молодая EdTech компания в сфере Data Science, которая уже 3 года помогает людям любого возраста осваивать современные профессии, а компаниям — находить классных специалистов, способных повысить эффективность бизнеса. Сейчас мы ищем куратора на курс Data Engineer в отдел сопровождения студентов. Для студента куратор — тот, к кому можно прийти по любому организационному вопросу, тот, кто поддержит и поможет поднять мотивацию учиться. А ещё ему важно любить и уметь писать ёмкие короткие тексты — будет много общения в чатах и в личных сообщениях со студентами. Вам предстоит: Мы ожидаем, что вы: Будет плюсом, если вы также: Мы предлагаем:;Полная занятость;удаленная работа;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Грамотность</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Грамотная речь</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Организаторские навыки</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Notion</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MS Excel</span></div></div>";https://rabota1000.ru/vacancy/117049109
3;Data Engineer;Центр Орбита;Москва;Договорная;3–6 лет;"ГК Орбита Мы масштабная технологическая группа компаний.Наша цель — цифровизировать гигантов рынка, для этого у нас есть все: крутая команда и продукты! Любишь сложные задачи? Тогда тебе к нам!Уже 5 лет работаем в направлениях business travel, HR tech, fin tech, product integration. Нам по пути, потому что: Открыта вакансия Data engineer, ищем для наших партнеров (страховой сектор). Предстоит: Мы ожидаем, что у Вас будет: Условия: мы оформляем по ТК РФ и предлагаем зарплату, которая позволит думать о текущих задачах, а не о завтрашнем дне; ДМС; предлагаем топовое железо; всегда участвуем в передовых конференциях в качестве докладчиков или слушателей; у нас прозрачность и плоская структура, минимум бюрократии и гибкие внутренние процессы; предлагаем удаленный или гибридный формат работы.";Полная занятость;удаленная работа;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MS SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Аналитическое мышление</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ORACLE</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ETL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">PostgreSQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">База данных: Oracle</span></div></div>";https://rabota1000.ru/vacancy/106012067
4;Data Engineer (инвестиционный бизнес);СБЕР;Санкт-Петербург;Договорная;1–3 года;"Data Engineer (инвестиционный бизнес) Наша команда создает информационную платформу для решения аналитических и исследовательских задач для создания продуктов и услуг в области брокерского бизнеса: торговли ценными бумагами, облигациями, валютой, производными финансовыми инструментами. Мы помогаем коллегам из различных департаментов проводить Ad-hoc анализ, готовить аналитическую и управленческую отчетность, поддерживать регулярные бизнес-операций, разрабатывать новые продукты и принимать бизнес решения на основе данных. Чем предстоит заниматься: Что для этого нужно:   Ключевые навыки:   Будет плюсом: Мы предлагаем: 
  							цифровых людей
  						 
  							внедрений в год,изменения каждые 30 сек 
 
объем хранимыхданных
  						 
  							транзакцийв секунду
  						 
  							доступк суперкомпьютеру
  						";Полная занятость;полный день;Не указано;https://rabota1000.ru/vacancy/98832749
5;Data Engineer;СБЕР;Санкт-Петербург;Договорная;3–6 лет;"Data Engineer (инвестиционный бизнес) Наша команда создает информационную платформу для решения аналитических и исследовательских задач для создания продуктов и услуг в области брокерского бизнеса: торговли ценными бумагами, облигациями, валютой, производными финансовыми инструментами. Мы помогаем коллегам из различных департаментов проводить Ad-hoc анализ, готовить аналитическую и управленческую отчетность, поддерживать регулярные бизнес-операций, разрабатывать новые продукты и принимать бизнес решения на основе данных. Чем предстоит заниматься: Что для этого нужно: Ключевые навыки: Будет плюсом: Мы предлагаем:   
  							цифровых людей
  						 
  							внедрений в год,изменения каждые 30 сек 
 
объем хранимыхданных
  						 
  							транзакцийв секунду
  						 
  							доступк суперкомпьютеру
  						";Полная занятость;полный день;Не указано;https://rabota1000.ru/vacancy/105357696
6;Data Engineer;Rubius;Томск;Договорная;1–3 года;Rubius — международная IT-компания! Мы разрабатываем софт для клиентов из различных отраслей — от промышленности и нефтегаза до ритейла и медицины. Обосновались в Томске, работаем по всему миру. Наши решения используют Apple, Tesla, Kaspersky, Amazon, IBM, Uber, Netflix, Газпром, РЖД и другие. В группу компаний входят представительства в Казахстане (Алматы, резиденты Astana hub), ОАЭ (Дубай), России (Томск, Москва, Санкт-Петербург), США (Нью-Йорк). А ещё у нас есть своя компания в Арабских Эмиратах и Казахстане. Одна из наших команд, которая занимается искусственным интеллектом, приглашает Data Engineer, так как команда расширяется. Вам предстоит работать с большими данными совместно с аналитиками и командой ML. Мы ищем человека, который умеет собирать витрины, джойнить данные и проверять полученный результат. У нас есть экспертиза по синтезу аудио и видео, анализу изображений и видео, компьютерному зрению, предиктивной аналитике, обработке текстовых данных и тд. Мы исследуем разные сферы от логистики до медицины, погружаемся в сферы наших крупных заказчиков с головой, чтобы помочь оптимизировать процессы. Также команда разработала свой продукт для видео аналитики. О проекте: Проект представляет собой - оптимизацию работы производства и поставки готовой продукции. В область нашей ответственности входит разработка инструментов, позволяющих бизнесу планировать объемы производства, решать логистические и маркетинговые задачи, а также предоставлять оперативные данные для принятия решений. Чем предстоит заниматься:  проектировать и собирать витрины данных по разработанному ТЗ проектировать, разрабатывать и поддерживать ETL-процессы для загрузки данных из/в Data Lake писать документацию - комментировать код работать с data-аналитиками для создания новых и оптимизации существующих витрин Добро пожаловать к нам в команду, если есть: понимание основных операций ДБ и DWH опыт работы с Hadoop технологиями (Spark, Hive и тд) хорошее знание SQL, Python опыт работы с Azure/Yandex облачными платформами опыт работы с Airflow, Kafka будем плюсом Что мы предлагаем: Сотрудники компании – главная ценность Rubius. Мы поддерживаем свободу творчества и полёт инженерной мысли. Стремимся, чтобы каждый участник нашей команды раскрыл свой потенциал. Мы стараемся заботиться о наших сотрудниках. Здесь удалённые и офисные команды чувствуют себя максимально комфортно. Про работу и оплату Про рост и развитие индивидуальный трек развития по желанию бонусы за обучение английскому языку бонус за профессиональное развитие (курсы, подкасты, литература по хард и софт скиллам) компенсация 50% за профессиональную сертификацию внутренние митапы на разные темы Про офис, плюшки и атмосферу уютный офис (не open space!) с дизайнерским интерьером и удобными переговорками большая кухня, всегда ароматный кофе, свежие фрукты и завтраки массажное кресло, релакс-зона, терраса на крыше и велосипеды для активного отдыха оплачиваемые занятия спортом (даже в домашних условиях) программа ДМС после испытательного срока скидка для вас и родственников в Rubius Academy бонусы к рождению детей и свадьбе классные корпоративы и активности развитая и комфортная корпоративная культура, без иерархии и бюрократии сообщества по интересам (футбол, теннис, своя музыкальная группа, шахматный клуб...) и коллектив, где прислушиваются к мнению каждого. Почитать и посмотреть о нас можно здесь: И ещё много где:) Просто вбивайте в поисковики слово Rubius и знакомьтесь с нами ближе. А потом откликайтесь на наши вакансии. Будем рады работать в команде с людьми, которые любят своё дело! С уважением,Ольга МальцеваHRD лучшей компании в мире:)  ;Полная занятость;удаленная работа;Не указано;https://rabota1000.ru/vacancy/117456515
7;Data Engineer (Вьетнам);Finstar Financial Group;Москва;Договорная;1–3 года;Проектирование и разработка витрин данных для аналитических отчетов и нужд Data Science Разработка ETL пайплайнов загрузки данных Интеграция новых источников в хранилище данных Рефакторинг существующих потоков и структур данных Оптимизация SQL запросов Сопровождение разработанных решений Настройка инструментов Data Quality и мониторинга процессов Уверенные знания Python 3.x Уверенные знания SQL и его процедурных расширений Понимание паттернов проектирования DWH (DataMarts, Detail Layer, Stage, Star vs Snowflake, SCD types) Практический опыт в разработке и проектировании ETL / DWH структур (джобы, витрины, метаданные, инструменты мониторинга) Хорошее понимание того что находится под капотом у СУБД и как это работает Отсутствие бюрократии, высокая степень свободы. Решения принимаются очень быстро;Полная занятость;полный день;Не указано;https://rabota1000.ru/vacancy/121806881
8;Middle Data Engineer на продукт tNPS (Big Data);МТС;Москва;Договорная;1–3 года;Big Data МТС – место, где телеком данные превращаются в реально работающие IT-продукты. Мы создали и протестировали несколько десятков сервисов. Самые успешные из них уже стали частью экосистемы МТС. Например, МТС Маркетолог, рекомендации в KION (МТС ТВ), услуга “Кто звонит?” или Спам blacklist. Кого мы ищем? Middle Data Engineer на продукт tNPS Ежедневно МТС опрашивает сотни тысяч клиентов о качестве их взаимодействия с компанией в разных точках контакта. Отвечают десятки тысяч. Но даже эти оценки недостаточны для качественной и быстрой оценки клиентского опыта и получения релевантных данных для анализа Не можем спросить или не хотим лишний раз спрашивать - тогда предскажем уровень лояльности. Нашей командой проекта реализуется модель скоринга опыта взаимодействия клиента с компанией. А главное, что результат скоринга модели виден и полезен сразуМы ищем Data Engineer, который сможет помочь нам сделать этот проект быстрым и точным в части поставки данных от источников сквозь модели до пользователей и систем, которые делают лучше жизнь и опыт клиентов МТС каждый день. Любишь и хочешь делать ETL-пайплайны для конкретных ML-решений востребованных бизнесом и людьми, тогда приходи к нам в команду Обязательно: Что предстоит делать? Условия: каждый месяц - аванс и зарплата, дважды в год - премия. ДМС + стоматология, корпоративная связь, специальные предложения от партнеров и друзей МТС, отпуск 31 день в год. Выдаем 16 MacBook Pro или Dell на выбор.   Есть ли обучение? Какой график? Гибкое начало рабочего дня в промежутке с 8 до 11. Есть возможность работать несколько дней вне офиса по договоренности с командой. Сколько этапов при отборе? Не более трех:          ;Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Hadoop</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Spark</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Airflow</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ETL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Git</span></div></div>";https://rabota1000.ru/vacancy/119606683
9;Senior Data Engineer / Старший дата-инженер;Procter & Gamble;Москва;Договорная;3–6 лет;"НАЙМ В ООО ""ПРОКТЕР ЭНД ГЭМБЛ ДИСТРИБЬЮТОРСКАЯ КОМПАНИЯ"" Are you ready to take your career to the next level? P&G's IT community is looking for a Senior Data Engineer to join our Data team in Moscow! In this role, you will be responsible for building systems and solutions leveraging various Cloud components & tools. This is your chance to work on interesting, global projects with some highly skilled and fun people. We will provide you with all the necessary training and knowledge to perform well during your journey at P&G. Our stack Azure Cloud (ADF, SQL DB, etc.) Databricks (Python/PySpark/SQL) Data visualization with Power BI Azure DevOps (SCRUM, CI/CD) What can you expect? In this role, you will use cutting-edge technology, an industry-leading data solution architecture, and a governance model to solve real P&G business problems. You will have the opportunity to: Design and implement complex technical solutions to obtain, process, and store data. Automate and optimize internal ETL processes in MS Azure. Share the best industry practices with the local Data Engineering community, deliver training sessions and other learning opportunities. Get access to the comprehensive training portfolio, including MS Certifications, Coursera, and other professional courses. Learn from the global P&G IT community to advance your skills. Compensation & Benefits Competitive base salary Annual bonus Monthly lunch & flexibility allowance 5 000 RUB gross Medical, travel, and life insurance Hybrid WFO/WFH schedule Access to P&G’s global comprehensive training portfolio Relocation support in case you move to Moscow from another region Mandatory Qualifications Advanced Python and SQL programming skills Hands-on experience in writing clean & effective code Knowledge and/or experience in using or building CI/CD tools Knowledge of SCRUM and DevOps methodologies Good command of English (Upper-Intermediate or higher level) NB: A technical interview will be part of the selection process to assess your hard skills. Nice to Have Requirements Experience in implementing projects & solutions using Microsoft Azure or any other cloud stack People management experience Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status, or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.";Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский — B2 — Средне-продвинутый</span></div></div>";https://rabota1000.ru/vacancy/693629
